parent_name	code	description	tags	budget_total	FOP	util	rozvytok	prc
Апарат Верховної Ради України	111010	Здійснення законотворчої діяльності Верховної Ради України	Апарат Верховної Ради України	625216.3	314273.9	0	14000	48.91192706
Апарат Верховної Ради України	111020	Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України	Апарат Верховної Ради України	443671.2	299091.8	39300	200.4	17.12379273
Апарат Верховної Ради України	111090	"Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети ""Голос України"""	Апарат Верховної Ради України	59511.9	0	0	20000	105.0909933
Апарат Державного управління справами	301010	Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Адміністрації Президента України	Державне управління справами	746629.8	182411.1	32913.4	99605.9	63.03311675
Апарат Державного управління справами	301050	Виготовлення державних нагород та пам'ятних знаків	Державне управління справами	20450.9	0	0	0	27.73672461
Апарат Державного управління справами	301060	Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення	Державне управління справами	83403.9	17002.7	31545.7	17250	34.30311649
Апарат Державного управління справами	301080	Фундаментальні та прикладні наукові дослідження у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів)	Державне управління справами	50000.5	0	0	50000.5	36.66407762
Апарат Державного управління справами	301130	Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики	Державне управління справами	223279.5	134082.9	20320.9	569.6	36.36403808
Апарат Державного управління справами	301140	Збереження природно-заповідного фонду в національних природних парках та заповідниках 	Державне управління справами	55560	27091.7	5401.5	2524.4	50.133245
Апарат Державного управління справами	301170	Надання  медичних  послуг  медичними  закладами 	Державне управління справами	642714.6	350652.8	41864.1	85654	44.0141823
Апарат Державного управління справами	301360	"Фінансова підтримка Національного камерного ансамблю ""Київські солісти"", Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал"", інформаційного бюлетеня ""Офіційний вісник Президента України"" "	Державне управління справами	51078.3	0	0	1450	216.6793736
Апарат Державного управління справами	301460	Виплата Державних премій України	Державне управління справами	1311.5	0	0	0	36.61458333
Апарат Державного управління справами	301860	Реставрація та пристосування Маріїнського палацу в м. Києві 	Державне управління справами	200000	0	0	200000	110.6017591
Національна служба посередництва і примирення України	304010	Сприяння врегулюванню колективних трудових спорів (конфліктів)	Комітети, Комісії, Ради та інше	21927.8	16090.7	770.4	86.8	71.12760596
Секретаріат Кабінету Міністрів України	411010	Обслуговування та організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України 	Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України	398415.3	161039.5	23877.7	100496.4	48.58503145
