Description	amt	prc
Здійснення законотворчої діяльності Верховної Ради України	625216.3	0.489119271
Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України	443671.2	0.171237927
Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети "Голос України"	59511.9	1.050909933
Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Адміністрації Президента України	746629.8	0.630331168
Виготовлення державних нагород та пам'ятних знаків	20450.9	0.277367246
Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення	83403.9	0.343031165
Фундаментальні та прикладні наукові дослідження у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів)	50000.5	0.366640776
Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики	223279.5	0.363640381
Збереження природно-заповідного фонду в національних природних парках та заповідниках 	55560	0.50133245
Надання  медичних  послуг  медичними  закладами 	642714.6	0.440141823
Фінансова підтримка Національного камерного ансамблю "Київські солісти", Національного культурно-мистецького та музейного комплексу "Мистецький арсенал", інформаційного бюлетеня "Офіційний вісник Президента України" 	51078.3	2.166793736
Виплата Державних премій України	1311.5	0.366145833
Реставрація та пристосування Маріїнського палацу в м. Києві 	200000	1.106017591
Сприяння врегулюванню колективних трудових спорів (конфліктів)	21927.8	0.71127606
Обслуговування та організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України 	398415.3	0.485850314
Фінансова підтримка газети "Урядовий кур'єр"	4361.1	0.116346117
Інформаційно-аналітичне та організаційне забезпечення оперативного реагування органів виконавчої влади	24845.2	0.029446946
Підтримка реалізації комплексної реформи державного управління	300000	-
Забезпечення розслідування авіаційних подій та інцидентів з цивільними повітряними суднами Національним бюро 	9410.4	0.31366526
Керівництво та управління у сфері електронного урядування	14002.6	-
Електронне урядування та Національна програма інформатизації	235000	-
Керівництво та управління у сфері контролю за витрачанням бюджетних коштів	414671.7	-
Забезпечення здійснення правосуддя місцевими, апеляційними та вищими спеціалізованими судами	8627128.1	0.400762006
Виконання рішень судів на користь суддів  та працівників апаратів судів	5000	0.755645909
Здійснення правосуддя Верховним Судом України	1012901.8	7.028258821
Здійснення правосуддя Вищим спеціалізованим судом України з розгляду цивільних і кримінальних справ	138050.2	-0.006338856
Здійснення правосуддя Вищим господарським судом України	148944.2	0.228089795
Здійснення правосуддя Вищим адміністративним судом України	96053.3	-0.199808653
Забезпечення конституційної юрисдикції в Україні	173192.3	0.746581607
Здійснення прокурорсько-слідчої діяльності, підготовка та підвищення кваліфікації кадрів прокуратури	4896431.6	0.590487175
Забезпечення функцій Спеціалізованою антикорупційною прокуратурою	119426.7	1.593697177
Керівництво та управління діяльністю Міністерства внутрішніх справ України	278221.9	0.277815917
